timestamp,(0,34);(14,17);(25,24);(8,13);(8,22);(14,10);(14,11);(28,27);(28,29);(28,30);(2,3);(2,32);(5,4);(9,12);(23,15);(23,19);(23,20);(18,21);(6,7);(2,16);(25,26);(33,1);(33,31);(34,9);(9,18);(18,2);(2,5);(5,23);(23,25);(25,28);(28,14);(14,8);(8,6);(6,33);(33,34);(25,25.1);(8,8.1);(14,14.1);(28,28.1);(2,2.1);(5,5.1);(9,9.1);(23,23.1);(18,18.1);(6,6.1);(33,33.1);(34,34.1)
1772830688.5701776;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;97.00;0.00;0.00;0.00;97.00;711.67;401.67;689.33;355.67;982.01;675.68;449.34;240.00;80.00;240.00;240.00;1156.33;390.00;529.34;1166.34;544.66;926.34;684.67;289.33;470.00;160.00;320.00;337.00
1772830688.5712752;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;97.00;0.00;0.00;0.00;97.00;711.67;401.67;689.33;355.67;982.01;675.68;449.34;240.00;80.00;240.00;240.00;1156.33;390.00;529.34;1166.34;544.66;926.34;684.67;289.33;470.00;160.00;320.00;337.00
1772830688.5999277;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;194.00;0.00;0.00;0.00;194.00;808.67;498.67;689.33;355.67;982.01;675.68;449.34;240.00;320.00;384.67;384.67;1156.33;700.00;529.34;1166.34;544.66;926.34;684.67;289.33;470.00;384.67;480.00;449.33
1772830688.6009417;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;194.00;0.00;0.00;0.00;194.00;808.67;498.67;689.33;355.67;982.01;675.68;449.34;240.00;320.00;384.67;384.67;1156.33;700.00;529.34;1166.34;544.66;926.34;684.67;289.33;470.00;384.67;480.00;449.33
1772830688.6296234;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;291.00;0.00;0.00;0.00;291.00;905.67;595.67;689.33;355.67;982.01;675.68;449.34;240.00;464.67;529.34;529.34;1156.33;1384.67;529.34;1166.34;544.66;926.34;684.67;289.33;470.00;384.67;480.00;561.66
1772830688.6308203;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;291.00;0.00;0.00;0.00;291.00;905.67;595.67;689.33;355.67;982.01;675.68;449.34;240.00;464.67;529.34;529.34;1156.33;1384.67;529.34;1166.34;544.66;926.34;684.67;289.33;470.00;384.67;480.00;561.66
1772830688.6596482;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;355.67;970.34;660.34;721.66;435.67;1062.01;675.68;449.34;240.00;529.34;594.01;594.01;1306.33;1759.34;529.34;1166.34;544.66;926.34;684.67;289.33;470.00;384.67;480.00;561.66
1772830688.6608002;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;388.00;0.00;0.00;0.00;355.67;970.34;660.34;721.66;435.67;1062.01;675.68;449.34;240.00;529.34;594.01;594.01;1306.33;1759.34;529.34;1166.34;544.66;926.34;684.67;289.33;470.00;384.67;480.00;561.66
1772830688.6895883;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;485.00;0.00;0.00;0.00;420.34;1035.01;725.01;753.99;515.67;1142.01;675.68;449.34;240.00;594.01;658.68;658.68;1456.33;2134.01;529.34;1166.34;544.66;926.34;684.67;289.33;470.00;384.67;480.00;561.66
1772830688.6907356;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;485.00;0.00;0.00;0.00;420.34;1035.01;725.01;753.99;515.67;1142.01;675.68;449.34;240.00;594.01;658.68;658.68;1456.33;2134.01;529.34;1166.34;544.66;926.34;684.67;289.33;470.00;384.67;480.00;561.66
