No.,timestamp,time_seconds,users,cpu_utilization,gpu_utilization,bandwidth_utilization,cache_utilization,network_cpu_utilization,network_gpu_utilization,network_cache_utilization,mobile_cpu_utilization,mobile_gpu_utilization,mobile_cache_utilization,latency,comp_latency,comm_latency,latency_diff,queue_time,decision_time_ms,success,fail_reason,sfc_id,recovery_time,sfc_recovered,cpu_saved,gpu_saved,cache_saved,shared_vnfs,running_sfcs,running_players,running_sessions,trascode_bw,crashing,acceptance_rate,cpu_per_flow,gpu_per_flow,cache_per_flow,jain_cpu,jain_gpu,jain_cache,jain_bw,server_energy_consumption,mobile_energy_consumption,total_energy_consumption,avg_sfc_reliability,high_risk_sfcs,medium_risk_sfcs,low_risk_sfcs
0,1772828734.064892,19.3,11,0.109,0.4243,0.1766,0.0748,14.3635,42.4252,7.4841,0.0,0.0,0.0,3.43,2.0,1.43,None,0.2759275436401367,14.962,True,None,sfc_unique_p6_2,0,None,57.65,12.99,297.0,37,24,6,2,0,False,100.0,5.541666666666667,7.015000000000001,4.125,0.1786,0.4098,0.0756,0.0775,2520.21939299404,2400.21939299404,120.0,0.8251623860938652,13,11,0
0,1772828751.856628,37.1,11,0.1238,0.4511,0.1913,0.0998,16.559,45.1139,9.9788,0.0,0.0,0.0,3.31,2.83,0.48,None,0.00043010711669921875,23.259,True,None,sfc_cache_p1_3,0,None,57.65,12.99,297.0,37,26,6,3,0,False,100.0,5.897307692307693,6.885769230769231,5.076923076923077,0.1856,0.456,0.0664,0.0808,2568.2915358511827,2438.2915358511827,130.0,0.815725149302992,14,12,0
0,1772828751.8580182,37.1,11,0.1238,0.4511,0.1913,0.0998,16.559,45.1139,9.9788,0.0,0.0,0.0,6.05,4.55,1.51,None,0.00043010711669921875,22.425,True,None,sfc_unique_p1_3,0,None,57.65,12.99,297.0,37,26,6,3,0,False,100.0,5.897307692307693,6.885769230769231,5.076923076923077,0.1856,0.456,0.0664,0.0808,2568.2915358511827,2438.2915358511827,130.0,0.815725149302992,14,12,0
0,1772828751.9148731,37.2,12,0.1374,0.478,0.2064,0.1247,18.7546,47.8026,12.4735,0.0,0.0,0.0,3.63,2.67,0.96,None,0.06043219566345215,21.136,True,None,sfc_cache_p2_3,0,None,57.65,12.99,297.0,38,28,6,3,0,False,100.0,6.202142857142857,6.7749999999999995,5.892857142857143,0.1838,0.4831,0.0882,0.0856,2612.6465358511828,2472.6465358511828,140.0,0.8051125175777297,17,11,0
0,1772828751.9162862,37.2,12,0.1374,0.478,0.2064,0.1247,18.7546,47.8026,12.4735,0.0,0.0,0.0,6.05,4.55,1.51,None,0.06043219566345215,22.341,True,None,sfc_unique_p2_3,0,None,57.65,12.99,297.0,38,28,6,3,0,False,100.0,6.202142857142857,6.7749999999999995,5.892857142857143,0.1838,0.4831,0.0882,0.0856,2612.6465358511828,2472.6465358511828,140.0,0.8051125175777297,17,11,0
0,1772828751.9740148,37.2,13,0.1519,0.5007,0.2201,0.1497,21.1305,50.0706,14.9682,0.0,0.0,0.0,5.86,4.65,1.21,None,0.11873531341552734,21.457,True,None,sfc_cache_p3_3,0,None,57.65,12.99,297.0,39,30,6,3,0,False,100.0,6.522,6.623333333333333,6.6,0.1969,0.4921,0.1095,0.0935,2647.959089306404,2497.959089306404,150.0,0.7958067787073412,19,11,0
0,1772828751.9754846,37.2,13,0.1519,0.5007,0.2201,0.1497,21.1305,50.0706,14.9682,0.0,0.0,0.0,6.05,4.55,1.51,None,0.11873531341552734,22.349,True,None,sfc_unique_p3_3,0,None,57.65,12.99,297.0,39,30,6,3,0,False,100.0,6.522,6.623333333333333,6.6,0.1969,0.4921,0.1095,0.0935,2647.959089306404,2497.959089306404,150.0,0.7958067787073412,19,11,0
0,1772828752.0315528,37.3,14,0.1586,0.5234,0.2339,0.1497,22.6068,52.3385,14.9682,0.0,0.0,0.0,5.86,4.65,1.21,None,0.17791509628295898,20.889,True,None,sfc_cache_p4_3,0,None,65.98,12.99,330.0,43,32,6,3,0,False,100.0,6.5415625,6.490625,6.1875,0.1891,0.5386,0.1068,0.1039,2690.684989523324,2530.684989523324,160.0,0.7803025409643763,21,11,0
0,1772828752.0330627,37.3,14,0.1586,0.5234,0.2339,0.1497,22.6068,52.3385,14.9682,0.0,0.0,0.0,7.27,5.63,1.64,None,0.17791509628295898,21.182,True,None,sfc_unique_p4_3,0,None,65.98,12.99,330.0,43,32,6,3,0,False,100.0,6.5415625,6.490625,6.1875,0.1891,0.5386,0.1068,0.1039,2690.684989523324,2530.684989523324,160.0,0.7803025409643763,21,11,0
0,1772828752.089073,37.3,15,0.1666,0.5461,0.2477,0.1497,24.0831,54.6064,14.9682,0.0,0.0,0.0,5.86,4.65,1.21,None,0.23526430130004883,20.53,True,None,sfc_cache_p5_3,0,None,74.31,12.99,363.0,47,34,6,3,0,False,100.0,6.5588235294117645,6.373529411764705,5.823529411764706,0.1735,0.5664,0.1042,0.1121,2719.184989523324,2549.184989523324,170.0,0.7610108356200534,23,11,0
