timestamp,(0,34);(14,17);(25,24);(8,13);(8,22);(14,10);(14,11);(28,27);(28,29);(28,30);(2,3);(2,32);(5,4);(9,12);(23,15);(23,19);(23,20);(18,21);(6,7);(2,16);(25,26);(33,1);(33,31);(34,9);(9,18);(18,2);(2,5);(5,23);(23,25);(25,28);(28,14);(14,8);(8,6);(6,33);(33,34);(25,25.1);(8,8.1);(14,14.1);(28,28.1);(2,2.1);(5,5.1);(9,9.1);(23,23.1);(18,18.1);(6,6.1);(33,33.1);(34,34.1)
1772828726.7912092;0.00;0.00;0.00;0.00;0.00;679.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3400.00;0.00;4580.00;0.00;0.00;0.00;0.00;2710.00;0.00;2311.65;2980.00;0.00;0.00;0.00;1960.00;0.00;0.00;0.00;0.00
1772828726.7925177;0.00;0.00;0.00;0.00;0.00;679.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3400.00;0.00;4580.00;0.00;0.00;0.00;0.00;2710.00;0.00;2311.65;2980.00;0.00;0.00;0.00;1960.00;0.00;0.00;0.00;0.00
1772828726.8489013;0.00;0.00;0.00;0.00;0.00;776.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3550.00;160.00;4954.67;0.00;0.00;0.00;0.00;2710.00;0.00;2423.98;3354.67;0.00;0.00;0.00;2110.00;0.00;0.00;0.00;0.00
1772828726.8502488;0.00;0.00;0.00;0.00;0.00;776.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3550.00;160.00;4954.67;0.00;0.00;0.00;0.00;2710.00;0.00;2423.98;3354.67;0.00;0.00;0.00;2110.00;0.00;0.00;0.00;0.00
1772828726.9032662;0.00;0.00;0.00;0.00;0.00;873.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3700.00;240.00;4987.00;160.00;150.00;0.00;0.00;2870.00;310.00;2743.98;3354.67;0.00;0.00;0.00;2260.00;0.00;150.00;0.00;0.00
1772828726.904664;0.00;0.00;0.00;0.00;0.00;873.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3700.00;240.00;4987.00;160.00;150.00;0.00;0.00;2870.00;310.00;2743.98;3354.67;0.00;0.00;0.00;2260.00;0.00;150.00;0.00;0.00
1772828726.9577615;0.00;0.00;0.00;0.00;0.00;970.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3700.00;240.00;4987.00;400.00;450.00;0.00;0.00;2870.00;850.00;3223.98;3354.67;0.00;0.00;0.00;2260.00;0.00;450.00;0.00;0.00
1772828726.959213;0.00;0.00;0.00;0.00;0.00;970.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3700.00;240.00;4987.00;400.00;450.00;0.00;0.00;2870.00;850.00;3223.98;3354.67;0.00;0.00;0.00;2260.00;0.00;450.00;0.00;0.00
1772828727.012172;0.00;0.00;0.00;0.00;0.00;1067.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3700.00;240.00;4987.00;640.00;750.00;0.00;0.00;2870.00;1330.00;3223.98;3354.67;0.00;0.00;0.00;2260.00;0.00;750.00;0.00;0.00
1772828727.0136578;0.00;0.00;0.00;0.00;0.00;1067.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3700.00;240.00;4987.00;640.00;750.00;0.00;0.00;2870.00;1330.00;3223.98;3354.67;0.00;0.00;0.00;2260.00;0.00;750.00;0.00;0.00
1772828727.0665956;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3700.00;240.00;4987.00;880.00;1050.00;0.00;0.00;2870.00;1810.00;3223.98;3354.67;0.00;0.00;0.00;2260.00;0.00;1050.00;0.00;0.00
1772828727.0681193;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3700.00;240.00;4987.00;880.00;1050.00;0.00;0.00;2870.00;1810.00;3223.98;3354.67;0.00;0.00;0.00;2260.00;0.00;1050.00;0.00;0.00
1772828750.8261526;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;0.00;0.00;0.00;97.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;540.00;0.00;3700.00;240.00;4987.00;880.00;1050.00;0.00;0.00;2870.00;1810.00;3223.98;3354.67;480.00;300.00;0.00;2260.00;0.00;1050.00;0.00;0.00
1772828750.8282406;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;0.00;0.00;0.00;97.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;540.00;0.00;3700.00;240.00;4987.00;880.00;1050.00;0.00;0.00;2870.00;1810.00;3223.98;3354.67;480.00;300.00;0.00;2260.00;0.00;1050.00;0.00;0.00
1772828750.8767693;0.00;0.00;0.00;0.00;0.00;1164.00;0.00;0.00;0.00;0.00;0.00;0.00;194.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1080.00;0.00;3700.00;240.00;4987.00;880.00;1050.00;0.00;0.00;2870.00;1810.00;3223.98;3354.67;960.00;600.00;0.00;2260.00;0.00;1050.00;0.00;0.00
