timestamp,(0,34);(14,17);(25,24);(8,13);(8,22);(14,10);(14,11);(28,27);(28,29);(28,30);(2,3);(2,32);(5,4);(9,12);(23,15);(23,19);(23,20);(18,21);(6,7);(2,16);(25,26);(33,1);(33,31);(34,9);(9,18);(18,2);(2,5);(5,23);(23,25);(25,28);(28,14);(14,8);(8,6);(6,33);(33,34);(25,25.1);(8,8.1);(14,14.1);(28,28.1);(2,2.1);(5,5.1);(9,9.1);(23,23.1);(18,18.1);(6,6.1);(33,33.1);(34,34.1)
1772827728.015992;0.00;679.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1820.00;1820.00;1820.00;1440.00;582.00;0.00;0.00;0.00;1680.00;2130.00;2130.00;2120.00;0.00;2430.00;1760.00;0.00;940.00;2049.34;0.00;0.00;0.00;320.00;320.00;4060.00
1772827728.0172906;0.00;679.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1820.00;1820.00;1820.00;1440.00;582.00;0.00;0.00;0.00;1680.00;2130.00;2130.00;2120.00;0.00;2430.00;1760.00;0.00;940.00;2049.34;0.00;0.00;0.00;320.00;320.00;4060.00
1772827728.0446525;0.00;776.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1820.00;1820.00;1820.00;1440.00;582.00;0.00;0.00;0.00;1920.00;2440.00;2440.00;2420.00;0.00;2590.00;1760.00;0.00;940.00;2049.34;0.00;0.00;0.00;320.00;320.00;4360.00
1772827728.0459309;0.00;776.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1820.00;1820.00;1820.00;1440.00;582.00;0.00;0.00;0.00;1920.00;2440.00;2440.00;2420.00;0.00;2590.00;1760.00;0.00;940.00;2049.34;0.00;0.00;0.00;320.00;320.00;4360.00
1772827728.0766015;0.00;873.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1820.00;1820.00;1820.00;1440.00;582.00;0.00;0.00;0.00;2160.00;2750.00;2750.00;2720.00;0.00;2750.00;1760.00;0.00;940.00;2049.34;0.00;0.00;0.00;320.00;320.00;4660.00
1772827728.0781302;0.00;873.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1820.00;1820.00;1820.00;1440.00;582.00;0.00;0.00;0.00;2160.00;2750.00;2750.00;2720.00;0.00;2750.00;1760.00;0.00;940.00;2049.34;0.00;0.00;0.00;320.00;320.00;4660.00
1772827728.1054962;0.00;970.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1820.00;1820.00;1820.00;1440.00;582.00;0.00;0.00;0.00;2400.00;3060.00;3050.00;3020.00;0.00;2910.00;1760.00;0.00;940.00;2049.34;0.00;0.00;0.00;320.00;320.00;4960.00
1772827728.1069639;0.00;970.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1820.00;1820.00;1820.00;1440.00;582.00;0.00;0.00;0.00;2400.00;3060.00;3050.00;3020.00;0.00;2910.00;1760.00;0.00;940.00;2049.34;0.00;0.00;0.00;320.00;320.00;4960.00
1772827728.1341062;0.00;1067.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1820.00;1820.00;1820.00;1440.00;582.00;0.00;0.00;0.00;2640.00;3370.00;3350.00;3320.00;0.00;3070.00;1760.00;0.00;940.00;2049.34;0.00;0.00;0.00;320.00;320.00;5260.00
1772827728.135477;0.00;1067.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1820.00;1820.00;1820.00;1440.00;582.00;0.00;0.00;0.00;2640.00;3370.00;3350.00;3320.00;0.00;3070.00;1760.00;0.00;940.00;2049.34;0.00;0.00;0.00;320.00;320.00;5260.00
1772827728.1627061;0.00;1164.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1820.00;1820.00;1820.00;1440.00;582.00;0.00;0.00;0.00;2880.00;3680.00;3650.00;3620.00;0.00;3230.00;1760.00;0.00;940.00;2049.34;0.00;0.00;0.00;320.00;320.00;5560.00
1772827728.1641796;0.00;1164.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;582.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1820.00;1820.00;1820.00;1440.00;582.00;0.00;0.00;0.00;2880.00;3680.00;3650.00;3620.00;0.00;3230.00;1760.00;0.00;940.00;2049.34;0.00;0.00;0.00;320.00;320.00;5560.00
